date,equity
2020-12-04,1.334503876567234
2020-12-05,1.334503876567234
2020-12-06,1.334503876567234
2020-12-07,1.334503876567234
2020-12-08,1.334503876567234
2020-12-09,1.334503876567234
2020-12-10,1.334503876567234
2020-12-11,1.334503876567234
2020-12-12,1.334503876567234
2020-12-13,1.334503876567234
2020-12-14,1.3478489153329063
2020-12-15,1.3478489153329063
2020-12-16,1.3478489153329063
2020-12-17,1.3478489153329063
2020-12-18,1.3478489153329063
2020-12-19,1.3478489153329063
2020-12-20,1.3478489153329063
2020-12-21,1.3478489153329063
2020-12-22,1.3478489153329063
2020-12-23,1.3613274044862353
2020-12-24,1.3613274044862353
2020-12-25,1.3613274044862353
2020-12-26,1.3613274044862353
2020-12-27,1.3613274044862353
2020-12-28,1.3613274044862353
2020-12-29,1.3749406785310978
2020-12-30,1.3749406785310978
2020-12-31,1.3749406785310978
2021-01-01,1.3749406785310978
2021-01-02,1.3749406785310978
2021-01-03,1.3749406785310978
2021-01-04,1.3749406785310978
2021-01-05,1.3749406785310978
2021-01-06,1.3749406785310978
2021-01-07,1.3749406785310978
2021-01-08,1.3886900853164088
2021-01-09,1.3886900853164088
2021-01-10,1.3886900853164088
2021-01-11,1.3886900853164088
2021-01-12,1.3886900853164088
2021-01-13,1.3886900853164088
2021-01-14,1.3886900853164088
2021-01-15,1.3886900853164088
2021-01-16,1.3886900853164088
2021-01-17,1.3886900853164088
2021-01-18,1.3886900853164088
2021-01-19,1.3886900853164088
2021-01-20,1.3886900853164088
2021-01-21,1.3886900853164088
2021-01-22,1.3886900853164088
2021-01-23,1.3886900853164088
2021-01-24,1.3886900853164088
2021-01-25,1.3886900853164088
2021-01-26,1.3886900853164088
2021-01-27,1.3886900853164088
2021-01-28,1.3886900853164088
2021-01-29,1.3886900853164088
2021-01-30,1.3886900853164088
2021-01-31,1.3886900853164088
2021-02-01,1.3886900853164088
2021-02-02,1.402576986169573
2021-02-03,1.402576986169573
2021-02-04,1.402576986169573
2021-02-05,1.4166027560312686
2021-02-06,1.4166027560312686
2021-02-07,1.4166027560312686
2021-02-08,1.4166027560312686
2021-02-09,1.4166027560312686
2021-02-10,1.4166027560312686
2021-02-11,1.4166027560312686
2021-02-12,1.4307687835915812
2021-02-13,1.4307687835915812
2021-02-14,1.4307687835915812
2021-02-15,1.445076471427497
2021-02-16,1.445076471427497
